Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range,Normalized Title
Victor and Nora: A Gotham Love Story,"Myracle, Lauren",,"Goodhart, Isaac",,Wisconsin,School District of Waukesha,2021-2022,victor and nora: a gotham love story
yolo (Internet Girls Series),"Myracle, Lauren",,,,Wisconsin,School District of Waukesha,2021-2022,yolo
Lolita,"Nabokov, Vladimir",,,,Utah,Canyons School District,2021-2022,lolita
A is for Activist,"Nagara, Innosanto",,,,Pennsylvania,Central York School District,2021-2022,a is for activist
Are You LGBTQ?,"Nagle, Jeanne",,,,Texas,North East Independent School District,2021-2022,are you lgbtq?
GLBT Teens and Society,"Nagle, Jeanne",,,,Texas,North East Independent School District,2021-2022,glbt teens and society
Yang the Third and Her Impossible Family (The Yang Family Series),"Namioka, Lensey",,"de Kiefte, Kees",,Florida,Duval County Public Schools,2021-2022,yang the third and her impossible family
Yang the Youngest and his Terrible Ear (The Yang Family Series),"Namioka, Lensey",,,,Florida,Duval County Public Schools,2021-2022,yang the youngest and his terrible ear
Should Teens Have Access to Birth Control?,"Nardo, Don",,,,Texas,North East Independent School District,2021-2022,should teens have access to birth control?
Teens and Gender Dysphoria,"Nardo, Don",,,,Texas,Klein Independent School District,2021-2022,teens and gender dysphoria
Teens and Gender Dysphoria,"Nardo, Don",,,,Texas,North East Independent School District,2021-2022,teens and gender dysphoria
Understanding Gender Identity,"Nardo, Don",,,,Tennessee,Collierville Schools,2021-2022,understanding gender identity
Reluctantly Alice (Alice Series),"Naylor, Phyllis Reynolds",,,,Texas,North East Independent School District,2021-2022,reluctantly alice
I'll Give You the Sun,"Nelson, Jandy",,,,Tennessee,Collierville Schools,2021-2022,i'll give you the sun
I'll Give You the Sun,"Nelson, Jandy",,,,Texas,Granbury Independent School District,2021-2022,i'll give you the sun
I'll Give You the Sun,"Nelson, Jandy",,,,Texas,North East Independent School District,2021-2022,i'll give you the sun
Nelson Mandela,"Nelson, Kadir",,,,Pennsylvania,Central York School District,2021-2022,nelson mandela
"The Book Itch: Freedom, Truth & Harlem's Greatest Bookstore","Nelson, Vaunda Micheaux",,"Christie, R. Gregory",,Pennsylvania,Central York School District,2021-2022,"the book itch: freedom, truth and harlem's greatest bookstore"
I Am Who I Am,"Nesmith, Kimberly M.",,"Wilson, Cameron",,Pennsylvania,Central York School District,2021-2022,i am who i am
Sparkle Boy,"Newman, Leslea",,,,Indiana,Carmel Clay Schools,2021-2022,sparkle boy
"Daddy, Papa, and Me","Newman, Lesléa",,"Thompson, Carol",,Florida,Duval County Public Schools,2021-2022,"daddy, papa, and me"
Heather Has Two Mommies,"Newman, Lesléa",,"Cornell, Laura",,Pennsylvania,Pennridge School District,2021-2022,heather has two mommies
Jailbait,"Newman, Lesléa",,,,Texas,Fredericksburg Independent School District,2021-2022,jailbait
"Mommy, Mama, and Me","Newman, Lesléa",,"Thompson, Carol",,Florida,Walton County School District,2021-2022,"mommy, mama, and me"
October Mourning: A Song for Matthew Shepard,"Newman, Lesléa",,,,Texas,North East Independent School District,2021-2022,october mourning: a song for matthew shepard
Sparkle Boy,"Newman, Lesléa",,"Mola, Maria",,Texas,North East Independent School District,2021-2022,sparkle boy
The Magic Fish,"Nguyen, Trung Le",,,,Florida,Indian River County School District,2021-2022,the magic fish
The Magic Fish,"Nguyen, Trung Le",,,,Tennessee,Collierville Schools,2021-2022,the magic fish
The Magic Fish,"Nguyen, Trung Le",,,,Texas,North East Independent School District,2021-2022,the magic fish
Breathless,"Niven, Jennifer",,,,Florida,Brevard Public Schools,2021-2022,breathless
Fry Bread: A Native American Family Story,"Noble Maillard, Kevin",,"Martinez-Neal, Juana",,Florida,Duval County Public Schools,2021-2022,fry bread: a native american family story
"The Trouble with Black Boys: And Other Reflections on Race, Equity, and the Future of Public Education","Noguera, Pedro A.",,,,Pennsylvania,Central York School District,2021-2022,"the trouble with black boys: and other reflections on race, equity, and the future of public education"
Thunder Rose,"Nolen, Jerdine",,"Nelson, Kadir",,Florida,Duval County Public Schools,2021-2022,thunder rose
The Underground Girls of Kabul: in Search of a Hidden Resistance in Afghanistan,"Nordberg, Jenny",,,,Texas,Klein Independent School District,2021-2022,the underground girls of kabul: in search of a hidden resistance in afghanistan
The Underground Girls of Kabul: in Search of a Hidden Resistance in Afghanistan,"Nordberg, Jenny",,,,Texas,North East Independent School District,2021-2022,the underground girls of kabul: in search of a hidden resistance in afghanistan
Always Human (Always Human Series),"North, Ari",,,,Tennessee,Collierville Schools,2021-2022,always human
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,Wisconsin,Chippewa Falls Area Unified School District,2021-2022,neanderthal opens the door to the universe
Meg & Linus,"Nowinski, Hanna",,,,Texas,Granbury Independent School District,2021-2022,meg and linus
Good Trouble: Lessons from the Civil Rights Playbook,"Noxon, Christopher",,,,Virginia,Virginia Beach City Public Schools,2021-2022,good trouble: lessons from the civil rights playbook
Becoming Nicole: The inspiring story of transgender actor-activist Nicole Maines and her extraordinary family,"Nutt, Amy Ellis",,,,Texas,North East Independent School District,2021-2022,becoming nicole: the inspiring story of transgender actor-activist nicole maines and her extraordinary family
The Flag of Childhood: Poems From the Middle East,"Nye, Naomi Shihab",,,,Florida,Duval County Public Schools,2021-2022,the flag of childhood: poems from the middle east
The Turtle of Oman (The Turtle of Oman Series),"Nye, Naomi Shihab",,"Peterschmidt, Betsy",,Florida,Duval County Public Schools,2021-2022,the turtle of oman
Sulwe,"Nyong'o, Lupita",,"Harrison, Vashti",,Florida,Duval County Public Schools,2021-2022,sulwe
Sulwe,"Nyong'o, Lupita",,"Harrison, Vashti",,Pennsylvania,Central York School District,2021-2022,sulwe
The Things They Carried,"O'Brien, Tim",,,,Florida,Indian River County School District,2021-2022,the things they carried
Equal Rights,"O'Connor, Maureen",,,,Texas,Granbury Independent School District,2021-2022,equal rights
Equal Rights,"O'Connor, Maureen",,,,Texas,North East Independent School District,2021-2022,equal rights
All Our Hidden Gifts (All Our Hidden Gifts Series),"O'Donoghue, Caroline",,,,Tennessee,Collierville Schools,2021-2022,all our hidden gifts
A Family Is a Family Is a Family,"O'Leary, Sara",,"Leng, Qin",,Florida,Duval County Public Schools,2021-2022,a family is a family is a family
Princess Princess Ever After,"O'Neill, Kay",,,,Texas,Katy Independent School District,2021-2022,princess princess ever after
Asking for It,"O'Neill, Louise",,,,Texas,Prosper Independent School District,2021-2022,asking for it
Identity and Gender,"Ogden, Charlie",,,,Texas,North East Independent School District,2021-2022,identity and gender
Before I Fall,"Oliver, Lauren",,,,Oklahoma,Bristow Public Schools,2021-2022,before i fall
Broken Things,"Oliver, Lauren",,,,Oklahoma,Bristow Public Schools,2021-2022,broken things
Our Class is a Family,"Olsen, Shannon",,"Sonke, Sandie",,Pennsylvania,Central York School District,2021-2022,our class is a family
So You Want to Talk About Race,"Oluo, Ijeoma",,,,Pennsylvania,Central York School District,2021-2022,so you want to talk about race
So You Want to Talk About Race,"Oluo, Ijeoma",,,,Texas,North East Independent School District,2021-2022,so you want to talk about race
An African American and Latinx History of the United States,"Ortiz, Paul",,,,Pennsylvania,Central York School District,2021-2022,an african american and latinx history of the united states
An African American and Latinx History of the United States,"Ortiz, Paul",,,,Texas,Klein Independent School District,2021-2022,an african american and latinx history of the united states
An African American and Latinx History of the United States,"Ortiz, Paul",,,,Texas,North East Independent School District,2021-2022,an african american and latinx history of the united states
The People Shall Continue,"Ortiz, Simon J.",,"Graves, Sharol",,Pennsylvania,Central York School District,2021-2022,the people shall continue
Heartstopper: Volume One (Heartstopper Series),"Oseman, Alice",,,,Tennessee,Collierville Schools,2021-2022,heartstopper: volume one
Heartstopper: Volume Three (Heartstopper Series),"Oseman, Alice",,,,Tennessee,Collierville Schools,2021-2022,heartstopper: volume three
Heartstopper: Volume Two (Heartstopper Series),"Oseman, Alice",,,,Tennessee,Collierville Schools,2021-2022,heartstopper: volume two
Anger Is a Gift,"Oshiro, Mark",,,,Tennessee,Collierville Schools,2021-2022,anger is a gift
Anger Is a Gift: A Novel,"Oshiro, Mark",,,,Kansas,Goddard Public Schools,2021-2022,anger is a gift: a novel
Each of Us a Desert,"Oshiro, Mark",,,,Tennessee,Collierville Schools,2021-2022,each of us a desert
Each of Us a Desert,"Oshiro, Mark",,,,Texas,North East Independent School District,2021-2022,each of us a desert
The Witch Boy (The Witch Boy Series),"Ostertag, Molly Knox",,,,Florida,Indian River County School District,2021-2022,the witch boy
Away We Go,"Ostrovski, Emil",,,,Texas,North East Independent School District,2021-2022,away we go
When the Emperor Was Divine,"Otsuka, Julie",,,,Wisconsin,Muskego-Norway Schools,2021-2022,when the emperor was divine
The Imitation Game: Alan Turing Decoded,"Ottaviani, Jim",,"Purvis, Leland",,Tennessee,Collierville Schools,2021-2022,the imitation game: alan turing decoded
These Feathered Flames (These Feathered Flames Series),"Overy, Alexandra",,,,Tennessee,Collierville Schools,2021-2022,these feathered flames
The Life and (Medieval) Times of Kit Sweetly,"Pacton, Jamie",,,,Tennessee,Collierville Schools,2021-2022,the life and times of kit sweetly
The Witch's Hand (The Montague Twins),"Page, Nathan","Shannon, Drew",,,Tennessee,Collierville Schools,2021-2022,the witch's hand
Dear Juno,"Pak, Soyung",,"Hartung, Susan Kathleen",,Florida,Duval County Public Schools,2021-2022,dear juno
White Bird,"Palacio, R. J.",,,,Texas,Katy Independent School District,2021-2022,white bird
Homophobia: From Social Stigma to Hate Crimes,"Palmer, Bill",,,,Texas,North East Independent School District,2021-2022,homophobia: from social stigma to hate crimes
The Best at It,"Pancholy, Maulik",,,,Florida,Indian River County School District,2021-2022,the best at it
Bloom,"Panetta, Kevin",,"Ganucheau, Savanna",,Tennessee,Collierville Schools,2021-2022,bloom
M or F?,"Papademetriou, Lisa","Tebbetts, Chris",,,Texas,Granbury Independent School District,2021-2022,m or f?
"Doing It Right: Making Smart, Safe, and Satisfying Choices About Sex","Pardes, Bronwen",,,,Indiana,Carmel Clay Schools,2021-2022,"doing it right: making smart, safe, and satisfying choices about sex"
"Doing It Right: Making Smart, Safe, and Satisfying Choices About Sex","Pardes, Bronwen",,,,Texas,North East Independent School District,2021-2022,"doing it right: making smart, safe, and satisfying choices about sex"
Culturally Sustaining Pedagogies: Teaching and Learning for Justice in a Changing World,"Paris, Django",H. Samy Alim,,,Pennsylvania,Central York School District,2021-2022,culturally sustaining pedagogies: teaching and learning for justice in a changing world
Nya's Long Walk: A Step at a Time,"Park, Linda Sue",,"Pinkney, Brian",,Florida,Duval County Public Schools,2021-2022,nya's long walk: a step at a time
How Prevalent Is Racism in Society?,"Parks, Peggy J.",,,,Texas,North East Independent School District,2021-2022,how prevalent is racism in society?
Teenage Sex and Pregnancy,"Parks, Peggy J.",,,,Texas,North East Independent School District,2021-2022,teenage sex and pregnancy
The Black Lives Matter Movement,"Parks, Peggy J.",,,,Tennessee,Collierville Schools,2021-2022,the black lives matter movement
Esta bien ser diferente/It's Okay to Be Different (Spanish Version),"Parr, Todd",,,"Muqoz, Esther Rubio",Pennsylvania,Central York School District,2021-2022,esta bien ser diferente/it's okay to be different
The Family Book,"Parr, Todd",,,,Florida,Lee County Schools,2021-2022,the family book
The Family Book,"Parr, Todd",,,,Florida,Walton County School District,2021-2022,the family book
Jaya and Rasa: A Love Story,"Patel, Sonia",,,,Texas,North East Independent School District,2021-2022,jaya and rasa: a love story
Bridge to Terabithia,"Paterson, Katherine",,,,Oklahoma,Bristow Public Schools,2021-2022,bridge to terabithia
Cradle and All,"Patterson, James",,,,Texas,Granbury Independent School District,2021-2022,cradle and all
Cradle and All,"Patterson, James",,,,Texas,North East Independent School District,2021-2022,cradle and all
Protect and Defend (Kerry Kilcannon Series),"Patterson, Richard North",,,,Texas,North East Independent School District,2021-2022,protect and defend
Crown of Feathers (Crown of Feathers Series),"Pau Preto, Nicki",,,,Tennessee,Collierville Schools,2021-2022,crown of feathers
Heart of Flames (Crown of Feathers Series),"Pau Preto, Nicki",,,,Tennessee,Collierville Schools,2021-2022,heart of flames
Wings of Shadow (Crown of Feathers Series),"Pau Preto, Nicki",,,,Tennessee,Collierville Schools,2021-2022,wings of shadow
Sisters/Hermanas,"Paulsen, Gary",,,"Andújar, Gloria de Aragón",Florida,Indian River County School District,2021-2022,sisters/hermanas
"Friendship, Dating, and Relationships (Teens: Being Gay, Lesbian, Bisexual, or Transgender)","Payment, Simone",,,,Texas,North East Independent School District,2021-2022,"friendship, dating, and relationships"
Pink Is for Boys,"Pearlman, Robb",,"Kaban, Eda",,Florida,Duval County Public Schools,2021-2022,pink is for boys
Pink Is for Boys,"Pearlman, Robb",,"Kaban, Eda",,Pennsylvania,Central York School District,2021-2022,pink is for boys
The Best Man,"Peck, Richard",,,,Florida,Duval County Public Schools,2021-2022,the best man
The Best Man,"Peck, Richard",,,,Texas,Granbury Independent School District,2021-2022,the best man
The Best Man,"Peck, Richard",,,,Texas,North East Independent School District,2021-2022,the best man
Transgender Rights and Issues,"Pelleschi, Andrea",,,,Texas,North East Independent School District,2021-2022,transgender rights and issues
All Are Welcome,"Penfold, Alexandra",,"Kaufman, Suzanne",,Pennsylvania,Central York School District,2021-2022,all are welcome
Your Rights as an LGBTQ+ Teen,"Penne, Barbra",,,,Tennessee,Collierville Schools,2021-2022,your rights as an lgbtq+ teen
Out of Darkness,"Perez, Ashley Hope",,,,North Carolina,Moore County Schools,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Florida,Brevard Public Schools,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Florida,Indian River County School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Florida,Osceola County School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Georgia,Forsyth County Schools,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Idaho,Nampa School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Indiana,Hamilton Southeastern Schools,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Indiana,Middlebury Community Schools,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Kansas,Goddard Public Schools,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Mississippi,Madison County Schools,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,New York,Yorktown Central School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Birdville Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Clear Creek Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Fredericksburg Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Granbury Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Katy Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Keller Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Klein Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Lake Travis Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Texas,Leander Independent School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Utah,Canyons School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Utah,Washington County School District,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Virginia,Henrico County Public Schools,2021-2022,out of darkness
Out of Darkness,"Pérez, Ashley Hope",,,,Wisconsin,School District of Waukesha,2021-2022,out of darkness
Between Us and Abuela: A Family Story from the Border,"Perkins, Mitali",,"Palacios, Sara",,Florida,Duval County Public Schools,2021-2022,between us and abuela: a family story from the border
Hey Black Child,"Perkins, Useni Eugene",,"Collier, Bryan",,Pennsylvania,Central York School District,2021-2022,hey black child
Skin Like Mine (Kids Like Mine Series),"Perry, LaTashia M.",,"Jackson, Bea",,Pennsylvania,Central York School District,2021-2022,skin like mine
Between Mom and Jo,"Peters, Julie Anne",,,,Texas,North East Independent School District,2021-2022,between mom and jo
Far from Xanadu,"Peters, Julie Anne",,,,Texas,North East Independent School District,2021-2022,far from xanadu
grl2grl,"Peters, Julie Anne",,,,Florida,Indian River County School District,2021-2022,grl2grl
grl2grl,"Peters, Julie Anne",,,,Florida,Walton County School District,2021-2022,grl2grl
grl2grl,"Peters, Julie Anne",,,,Texas,Granbury Independent School District,2021-2022,grl2grl
It's Our Prom (So Deal With It),"Peters, Julie Anne",,,,Texas,North East Independent School District,2021-2022,it's our prom
Keeping You a Secret,"Peters, Julie Anne",,,,Texas,North East Independent School District,2021-2022,keeping you a secret
Lies My Girlfriend Told Me,"Peters, Julie Anne",,,,Texas,North East Independent School District,2021-2022,lies my girlfriend told me
Rage: A Love Story,"Peters, Julie Anne",,,,Texas,Granbury Independent School District,2021-2022,rage: a love story
Rage: A Love Story,"Peters, Julie Anne",,,,Texas,North East Independent School District,2021-2022,rage: a love story
"She Loves You, She Loves You Not...","Peters, Julie Anne",,,,Texas,Granbury Independent School District,2021-2022,"she loves you, she loves you not..."
"She Loves You, She Loves You Not...","Peters, Julie Anne",,,,Texas,North East Independent School District,2021-2022,"she loves you, she loves you not..."
Gender Identity (Teen Mental Health),"Petrikowski, Nicki Peter",,,,Texas,North East Independent School District,2021-2022,gender identity
The Stars and the Blackness Between Them,"Petrus, Junauda",,,,Tennessee,Collierville Schools,2021-2022,the stars and the blackness between them
The Stars and the Blackness Between Them,"Petrus, Junauda",,,,Texas,North East Independent School District,2021-2022,the stars and the blackness between them
The Field Guide to the North American Teenager,"Philippe, Ben",,,,Texas,Katy Independent School District,2021-2022,the field guide to the north american teenager
Sometime After Midnight,"Philips, L.",,,,Tennessee,Collierville Schools,2021-2022,sometime after midnight
My Sister's Keeper,"Picoult, Jodi",,,,Florida,Indian River County School District,2021-2022,my sister's keeper
My Sister's Keeper,"Picoult, Jodi",,,,Tennessee,Hamilton County Schools,2021-2022,my sister's keeper
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Indian River County School District,2021-2022,nineteen minutes
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Jackson County School District,2021-2022,nineteen minutes
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Lee County Schools,2021-2022,nineteen minutes
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Polk County Public Schools,2021-2022,nineteen minutes
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Santa Rosa County District Schools,2021-2022,nineteen minutes
Nineteen Minutes,"Picoult, Jodi",,,,Florida,St. Lucie Public Schools,2021-2022,nineteen minutes
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Walton County School District,2021-2022,nineteen minutes
Nineteen Minutes,"Picoult, Jodi",,,,Georgia,Forsyth County Schools,2021-2022,nineteen minutes
Nineteen Minutes,"Picoult, Jodi",,,,Michigan,Gladwin Community Schools,2021-2022,nineteen minutes
The Tenth Circle,"Picoult, Jodi",,,,Florida,Indian River County School District,2021-2022,the tenth circle
Mastiff (Beka Cooper Series),"Pierce, Tamora",,,,Oklahoma,Bristow Public Schools,2021-2022,mastiff
The Will of the Empress (The Circle Reforged Series),"Pierce, Tamora",,,,Tennessee,Collierville Schools,2021-2022,the will of the empress
A Curse of Roses,"Pinguicha, Diana",,,,Tennessee,Collierville Schools,2021-2022,a curse of roses
Duke Ellington: The Piano Prince and His Orchestra,"Pinkney, Andrea Davis",,"Pinkney, Brian",,Pennsylvania,Central York School District,2021-2022,duke ellington: the piano prince and his orchestra
Fishing Day,"Pinkney, Andrea Davis",,"Evans, Shane W.",,Pennsylvania,Central York School District,2021-2022,fishing day
The Sunday Outing,"Pinkney, Gloria Jean",,"Pinkney, Jerry",,Pennsylvania,Central York School District,2021-2022,the sunday outing
"It Doesn't Have to Be Awkward: Dealing with Relationships, Consent, and Other Hard-to-Talk-About Stuff","Pinsky, Drew","Pinsky, Paulina",,,Tennessee,Collierville Schools,2021-2022,"it doesn't have to be awkward: dealing with relationships, consent, and other hard-to-talk-about stuff"
The Stonewall Riots: Coming Out in the Street,"Pitman, Gayle E.",,,,Florida,Duval County Public Schools,2021-2022,the stonewall riots: coming out in the street
The Stonewall Riots: Coming Out in the Street,"Pitman, Gayle E.",,,,Texas,Prosper Independent School District,2021-2022,the stonewall riots: coming out in the street
This Day in June,"Pitman, Gayle E.",,"Litten, Kristyna",,Florida,Walton County School District,2021-2022,this day in june
The Bell Jar,"Plath, Sylvia",,,,Texas,Klein Independent School District,2021-2022,the bell jar
What Happened to Lani Garver,"Plum-Ucci, Carol",,,,Texas,North East Independent School District,2021-2022,what happened to lani garver
Like Water,"Podos, Rebecca",,,,Texas,Granbury Independent School District,2021-2022,like water
In Our Mothers' House,"Polacco, Patricia",,,,Florida,Broward County Public Schools,2021-2022,in our mothers' house
In Our Mothers' House,"Polacco, Patricia",,,,Florida,Duval County Public Schools,2021-2022,in our mothers' house
In Our Mothers' House,"Polacco, Patricia",,,,Texas,Granbury Independent School District,2021-2022,in our mothers' house
In Our Mothers' House,"Polacco, Patricia",,,,Texas,North East Independent School District,2021-2022,in our mothers' house
Mrs. Katz and Tush,"Polacco, Patricia",,,,Pennsylvania,Central York School District,2021-2022,mrs. katz and tush
The Butterfly,"Polacco, Patricia",,,,Pennsylvania,Central York School District,2021-2022,the butterfly
Who Was Lucille Ball? (Who was...? Series),"Pollack, Pam","Belviso, Meg","Copeland, Gregory",,Pennsylvania,Central York School District,2021-2022,who was lucille ball?
Who Was Susan B. Anthony? (Who was...? Series),"Pollack, Pam","Belviso, Meg","Lacey, Mike",,Pennsylvania,Central York School District,2021-2022,who was susan b. anthony?
Everyday Antiracism: Getting Real About Race in School,"Pollock, Mica",,,,Pennsylvania,Central York School District,2021-2022,everyday antiracism: getting real about race in school
Gracefully Grayson,"Polonsky, Ami",,,,Florida,Duval County Public Schools,2021-2022,gracefully grayson
Gracefully Grayson,"Polonsky, Ami",,,,Texas,North East Independent School District,2021-2022,gracefully grayson
The City Beautiful,"Polydoros, Aden",,,,Tennessee,Collierville Schools,2021-2022,the city beautiful
The Blood Countess (Lady Slayers Series),"Popović, Lana",,,,Texas,North East Independent School District,2021-2022,the blood countess
Baby & Solo,"Posthuma, Lisabeth",,,,Tennessee,Collierville Schools,2021-2022,baby and solo
Burn Our Bodies Down,"Power, Rory",,,,Tennessee,Collierville Schools,2021-2022,burn our bodies down
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",,,,Mississippi,Madison County Schools,2021-2022,"queer, there and everywhere: 23 people who changed the world"
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",,,,Tennessee,Hamilton County Schools,2021-2022,"queer, there and everywhere: 23 people who changed the world"
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",,,,Texas,Granbury Independent School District,2021-2022,"queer, there and everywhere: 23 people who changed the world"
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,"Prager, Sarah",,"Papworth, Sarah",,Pennsylvania,Central York School District,2021-2022,rainbow revolutionaries: fifty lgbtq+ people who made history
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,"Prager, Sarah",,"Papworth, Sarah",,Texas,North East Independent School District,2021-2022,rainbow revolutionaries: fifty lgbtq+ people who made history
Tomboy: A Graphic Memoir,"Prince, Liz",,,,Texas,North East Independent School District,2021-2022,tomboy: a graphic memoir
Late to the Party,"Quindlen, Kelly",,,,Tennessee,Collierville Schools,2021-2022,late to the party
Late to the Party,"Quindlen, Kelly",,,,Texas,North East Independent School District,2021-2022,late to the party
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,Missouri,Wentzville School District,2021-2022,"gabi, a girl in pieces"
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,Tennessee,Collierville Schools,2021-2022,"gabi, a girl in pieces"
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,Texas,Granbury Independent School District,2021-2022,"gabi, a girl in pieces"
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,Texas,North East Independent School District,2021-2022,"gabi, a girl in pieces"
My Papi Has a Motorcycle,"Quintero, Isabel",,"Peña, Zeke",,Pennsylvania,Central York School District,2021-2022,my papi has a motorcycle
"Bend, Don't Shatter: Poets on the Beginning of Desire","Rachel, T. Cole","Costello, Rita D.",,,Texas,Cypress-Fairbanks Independent School District,2021-2022,"bend, don't shatter: poets on the beginning of desire"
"Ready or Not?: A Girl's Guide to Making Her Own Decisions about Dating, Love, and Sex","Radziszewicz, Tina",,,,Texas,North East Independent School District,2021-2022,"ready or not?: a girl's guide to making her own decisions about dating, love, and sex"
Scars,"Rainfield, Cheryl",,,,Texas,North East Independent School District,2021-2022,scars
A Good Kind of Trouble,"Ramée, Lisa Moore",,,,Pennsylvania,Central York School District,2021-2022,a good kind of trouble
The Truth Is,"Ramos, NoNieqa",,,,Texas,North East Independent School District,2021-2022,the truth is
Citizen: An American Lyric,"Rankine, Claudia",,,,Texas,North East Independent School District,2021-2022,citizen: an american lyric
My Mother's Sari,"Rao, Sandhya",,"Sabnami, Nina",,Florida,Duval County Public Schools,2021-2022,my mother's sari
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,Idaho,Nampa School District,2021-2022,33 snowfish
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,Michigan,Gladwin Community Schools,2021-2022,33 snowfish
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,Virginia,Spotsylvania County Public Schools,2021-2022,33 snowfish
Wilma's Way Home: The Life of Wilma Mankiller,"Rappaport, Doreen",,"Kukuk, Linda",,Florida,Duval County Public Schools,2021-2022,wilma's way home: the life of wilma mankiller
We the Students: Supreme Court Cases for and about Students,"Raskin, Jamin B.",,,,Texas,North East Independent School District,2021-2022,we the students: supreme court cases for and about students
Dumpling Soup,"Rattigan, Jama Kim",,"Hsu-Flanders, Lillian",,Florida,Duval County Public Schools,2021-2022,dumpling soup
Who Is the Dalai Lama? (Who was...? Series),"Rau, Dana Meachen",,,,Florida,Duval County Public Schools,2021-2022,who is the dalai lama?
Who Was Cesar Chavez? (Who was...? Series),"Rau, Dana Meachen",,"Hammond, Ted",,Pennsylvania,Central York School District,2021-2022,who was cesar chavez?
Who Was Harriet Beecher Stowe? (Who was...? Series),"Rau, Dana Meachen",,"Copeland, Gregory",,Pennsylvania,Central York School District,2021-2022,who was harriet beecher stowe?
Beautiful,"Reed, Amy",,,,Florida,Brevard Public Schools,2021-2022,beautiful
The Nowhere Girls,"Reed, Amy",,,,Florida,Brevard Public Schools,2021-2022,the nowhere girls
The Nowhere Girls,"Reed, Amy",,,,Florida,Indian River County School District,2021-2022,the nowhere girls
The Nowhere Girls,"Reed, Amy",,,,Texas,Leander Independent School District,2021-2022,the nowhere girls
The Black Kids,"Reed, Christina Hammonds",,,,Florida,Indian River County School District,2021-2022,the black kids
"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)","Rennison, Louise",,,,Michigan,Gladwin Community Schools,2021-2022,"on the bright side, i'm now the girlfriend of a sex god"
All American Boys,"Reynolds, Jason","Kiely, Brendan",,,Florida,Indian River County School District,2021-2022,all american boys
All American Boys,"Reynolds, Jason","Kiely, Brendan",,,Indiana,Middlebury Community Schools,2021-2022,all american boys
All American Boys,"Reynolds, Jason","Kiely, Brendan",,,Mississippi,Madison County Schools,2021-2022,all american boys
All American Boys,"Reynolds, Jason","Kiely, Brendan",,,North Carolina,Pitt County Schools,2021-2022,all american boys
All American Boys,"Reynolds, Jason","Kiely, Brendan",,,Oklahoma,Bristow Public Schools,2021-2022,all american boys
