Title,Author,sex or gender,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range
The Freedom Writers Diary,Erin Gruwell,female,The Freedom Writers,,,Florida,Charlotte County Public Schools,2023-2024
Homegoing,Yaa Gyasi,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Great Alone,Kristin Hannah,female,,,,Florida,Charlotte County Public Schools,2023-2024
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Robie Harris,female,,"Emberley, Michael",,Florida,Charlotte County Public Schools,2023-2024
Burned (EH),Ellen Hopkins,female,,,,Florida,Charlotte County Public Schools,2023-2024
Crank,Ellen Hopkins,female,,,,Florida,Charlotte County Public Schools,2023-2024
Fallout,Ellen Hopkins,female,,,,Florida,Charlotte County Public Schools,2023-2024
Glass,Ellen Hopkins,female,,,,Florida,Charlotte County Public Schools,2023-2024
Impulse,Ellen Hopkins,female,,,,Florida,Charlotte County Public Schools,2023-2024
Smoke,Ellen Hopkins,female,,,,Florida,Charlotte County Public Schools,2023-2024
Tricks,Ellen Hopkins,female,,,,Florida,Charlotte County Public Schools,2023-2024
A Thousand Splendid Suns,Khaled Hosseini,male,,,,Florida,Charlotte County Public Schools,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Florida,Charlotte County Public Schools,2023-2024
Monday's Not Coming,Tiffany D. Jackson,female,,,,Florida,Charlotte County Public Schools,2023-2024
Being Jazz: My Life as a (Transgender) Teen,Jazz Jennings,trans woman,,,,Florida,Charlotte County Public Schools,2023-2024
Almost Perfect,"Katcher, Brian",,,,,Florida,Charlotte County Public Schools,2023-2024
Two Boys Kissing,David Levithan,male,,,,Florida,Charlotte County Public Schools,2023-2024
Fly on the Wall: How One Girl Saw Everything,E. Lockhart,female,,,,Florida,Charlotte County Public Schools,2023-2024
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",E. Lockhart,female,,,,Florida,Charlotte County Public Schools,2023-2024
Unravel Me,Tahereh Mafi,female,,,,Florida,Charlotte County Public Schools,2023-2024
Wicked,Gregory Maguire,male,,,,Florida,Charlotte County Public Schools,2023-2024
The Truth About Alice: A Novel,Jennifer Mathieu,female,,,,Florida,Charlotte County Public Schools,2023-2024
Sold,Patricia McCormick,female,,,,Florida,Charlotte County Public Schools,2023-2024
Atonement,Ian McEwan,male,,,,Florida,Charlotte County Public Schools,2023-2024
Beloved,Toni Morrison,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Bluest Eye,Toni Morrison,female,,,,Florida,Charlotte County Public Schools,2023-2024
War Inside Me,"Nicholas, Sydney",,,,,Florida,Charlotte County Public Schools,2023-2024
All the Bright Places,Jennifer Niven,female,,,,Florida,Charlotte County Public Schools,2023-2024
Holding Up the Universe,Jennifer Niven,female,,,,Florida,Charlotte County Public Schools,2023-2024
Where the Crawdads Sing,Delia Owens,female,,,,Florida,Charlotte County Public Schools,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Florida,Charlotte County Public Schools,2023-2024
We the Living,Ayn Rand,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Nowhere Girls,Amy Reed,female,,,,Florida,Charlotte County Public Schools,2023-2024
All American Boys,"Reynolds, Jason",,"Kiely, Brendan",,,Florida,Charlotte County Public Schools,2023-2024
And Tango Makes Three,Justin Richardson,male,"Parnell, Peter","Cole, Henry",,Florida,Charlotte County Public Schools,2023-2024
Percy Jackson's Greek Gods,Rick Riordan,male,,,,Florida,Charlotte County Public Schools,2023-2024
Eleanor and Park,Rainbow Rowell,female,,,,Florida,Charlotte County Public Schools,2023-2024
I Am Not Your Perfect Mexican Daughter,Erika Sánchez,female,,,,Florida,Charlotte County Public Schools,2023-2024
Lucky (AS),Alice Sebold,female,,,,Florida,Charlotte County Public Schools,2023-2024
Burned (SS),Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Crushed,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Deadly,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Flawless,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Heartless,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Killer,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Perfect,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Pretty Little Liars,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Ruthless,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Stunning,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Toxic,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Twisted (SS),Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Unbelievable,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Vicious,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
Wanted,Sara Shepard,female,,,,Florida,Charlotte County Public Schools,2023-2024
More Happy Than Not,Adam Silvera,male,,,,Florida,Charlotte County Public Schools,2023-2024
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Dashka Slater,female,,,,Florida,Charlotte County Public Schools,2023-2024
Go Ask Alice,Beatrice Sparks,female,Anonymous,,,Florida,Charlotte County Public Schools,2023-2024
Who Was Sally Ride?,Megan Stine,female,,"Hammond, Ted",,Florida,Charlotte County Public Schools,2023-2024
The Help,Kathryn Stockett,female,,,,Florida,Charlotte County Public Schools,2023-2024
Dear Martin,Nic Stone,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Walls Around Us,Nova Ren Suma,female,,,,Florida,Charlotte County Public Schools,2023-2024
This One Summer,Mariko Tamaki,female,,"Tamaki, Jillian",,Florida,Charlotte County Public Schools,2023-2024
Drama: A Graphic Novel,Raina Telgemeier,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Hate U Give,Angie Thomas,female,,,,Florida,Charlotte County Public Schools,2023-2024
Slaughterhouse-Five,Kurt Vonnegut,male,,,,Florida,Charlotte County Public Schools,2023-2024
The Glass Castle,Jeannette Walls,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Sun is Also a Star,Nicola Yoon,female,,,,Florida,Charlotte County Public Schools,2023-2024
With the Fire on High,Elizabeth Acevedo,female,,,,Florida,Clay County School District,2023-2024
"How I Paid for College: A Novel of Sex, Theft, Friendship and Musical Theater",Marc Acito,male,,,,Florida,Clay County School District,2023-2024
"Sparks: The epic, Completely True Blue, (Almost) Holy Quest of Debbie",Adam Selzer,male,,,,Florida,Clay County School District,2023-2024
Smoke in the Sun,Renée Ahdieh,female,,,,Florida,Clay County School District,2023-2024
Here's to Us,Becky Albertalli,female,"Silvera, Adam",,,Florida,Clay County School District,2023-2024
Kate in Waiting,Becky Albertalli,female,,,,Florida,Clay County School District,2023-2024
What If It's Us,Becky Albertalli,female,"Silvera, Adam",,,Florida,Clay County School District,2023-2024
Yes No Maybe So,Becky Albertalli,female,"Saeed, Aisha",,,Florida,Clay County School District,2023-2024
Counterfeit Son,Elaine M. Alphin,female,,,,Florida,Clay County School District,2023-2024
How the García Girls Lost Their Accents,Julia Alvarez,female,,,,Florida,Clay County School District,2023-2024
"Bless Me, Ultima",Rudolfo Anaya,male,,,,Florida,Clay County School District,2023-2024
Murder of Crows,K. Ancrum,female,,,,Florida,Clay County School District,2023-2024
Chains,Laurie Halse Anderson,female,,,,Florida,Clay County School District,2023-2024
I Know Why The Caged Bird Sings,Maya Angelou,female,,,,Florida,Clay County School District,2023-2024
The One and Only Bob,Katherine Applegate,female,,"Castelao, Patricia",,Florida,Clay County School District,2023-2024
The One and Only Ivan,Katherine Applegate,female,,,,Florida,Clay County School District,2023-2024
Almost Flying,"Arlow, Jake Maia",,,,,Florida,Clay County School District,2023-2024
Opposition,Jennifer Armentrout,female,,,,Florida,Clay County School District,2023-2024
White Hot Kiss,Jennifer Armentrout,female,,,,Florida,Clay County School District,2023-2024
The Clan of the Cave Bear,Jean M. Auel,female,,,,Florida,Clay County School District,2023-2024
If You Find This,"Baker, Matthew",,,,,Florida,Clay County School District,2023-2024
"Hi, Jack!",Mac Barnett,male,,"Pizzoli, Greg",,Florida,Clay County School District,2023-2024
Two-Way Street,Lauren Barnholdt,female,,,,Florida,Clay County School District,2023-2024
Maya and the Rising Dark,Rena Barron,female,,,,Florida,Clay County School District,2023-2024
The Vanquishers,Kalynn Bayron,female,,,,Florida,Clay County School District,2023-2024
This Poison Heart,Kalynn Bayron,female,,,,Florida,Clay County School District,2023-2024
Serafina and the Black Cloak,Robert Beatty,male,,,,Florida,Clay County School District,2023-2024
"Sofia Valdez, Future Prez",Andrea Beaty,female,,"Roberts, David",,Florida,Clay County School District,2023-2024
Jaws,Peter Benchley,male,,,,Florida,Clay County School District,2023-2024
Dumbness is a Dish Best Served Cold,Jim Benton,male,,,,Florida,Clay County School District,2023-2024
A Girl Like That,Tanaz Bhathena,female,,,,Florida,Clay County School District,2023-2024
Boy2Girl,Terence Blacker,male,,,,Florida,Clay County School District,2023-2024
Girl Made of Stars,Ashley Herring Blake,female,,,,Florida,Clay County School District,2023-2024
La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,Ashley Herring Blake,female,,,"Rojas, María Celina",Florida,Clay County School District,2023-2024
The Mighty Heart of Sunny St. James,Ashley Herring Blake,female,,,,Florida,Clay County School District,2023-2024
Two Dark Reigns,Kendare Blake,female,,,,Florida,Clay County School District,2023-2024
"Then Again, Maybe I Won't",Judy Blume,female,,,,Florida,Clay County School District,2023-2024
Let Me Play: The Story of Title IX: The Law That Changed the Future of Girls in America,Karen Blumenthal,female,,,,Florida,Clay County School District,2023-2024
Insignificant Events In The Life Of A Cactus,"Bowling, Dusti",,,,,Florida,Clay County School District,2023-2024
The Benefits of Being an Octopus,"Braden, Ann",,,,,Florida,Clay County School District,2023-2024
As Old as Time: A Twisted Tail,Elizabeth J. Braswell,female,,,,Florida,Clay County School District,2023-2024
Lair of Dreams,Libba Bray,female,,,,Florida,Clay County School District,2023-2024
World War Z,Max Brooks,male,,,,Florida,Clay County School District,2023-2024
Anya's Ghost,Vera Brosgol,female,,,,Florida,Clay County School District,2023-2024
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Echo Brown,female,,,,Florida,Clay County School District,2023-2024
The Meaning of Birds,"Brown, Jaye Robin",,,,,Florida,Clay County School District,2023-2024
Arthur's Birthday,Marc Brown,male,,,,Florida,Clay County School District,2023-2024
Red Rising,Pierce Brown,male,,,,Florida,Clay County School District,2023-2024
Two Roads,Joseph Bruchac,male,,,,Florida,Clay County School District,2023-2024
A Bad Kitty Christmas,Nick Bruel,male,,,,Florida,Clay County School District,2023-2024
Beyond the Break,"Buchta, Heather",,,,,Florida,Clay County School District,2023-2024
A Clockwork Orange,Anthony Burgess,male,,,,Florida,Clay County School District,2023-2024
Smack,Melvin Burgess,male,,,,Florida,Clay County School District,2023-2024
The Hit,Melvin Burgess,male,,,,Florida,Clay County School District,2023-2024
Once and Future,Amy Rose Capetta,female,"McCarthy, Cori",,,Florida,Clay County School District,2023-2024
"Me, Him, Them and It","Carter, Caela",,,,,Florida,Clay County School District,2023-2024
I Stop Somewhere,"Carter, TE",,,,,Florida,Clay County School District,2023-2024
Bitterblue,Kristin Cashore,female,,"Schoenherr, Ian",,Florida,Clay County School District,2023-2024
"Jane, Unlimited",Kristin Cashore,female,,,,Florida,Clay County School District,2023-2024
Winterkeep,Kristin Cashore,female,,,,Florida,Clay County School District,2023-2024
Revealed (PCC),P. C. Cast,female,"Cast, Kristin",,,Florida,Clay County School District,2023-2024
The School for Good and Evil,Soman Chainani,male,,"Bruno, Iacopo",,Florida,Clay County School District,2023-2024
Imaginary Friend,Stephen Chbosky,male,,,,Florida,Clay County School District,2023-2024
Girl With a Pearl Earring,Tracy Chevalier,female,,,,Florida,Clay County School District,2023-2024
Mixed: A Colorful Story,Arree Chung,male,,,,Florida,Clay County School District,2023-2024
The Belles,Dhonielle Clayton,female,,,,Florida,Clay County School District,2023-2024
Ghost World,Daniel Clowes,male,,,,Florida,Clay County School District,2023-2024
