Title,Author,sex or gender,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Florida,Escambia County Public Schools,2022-2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Idaho,Kuna School District,2022-2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Missouri,Nixa Public Schools,2022-2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Oregon,Canby Public School District,2022-2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Pennsylvania,Penncrest School District,2022-2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Texas,Cypress-Fairbanks Independent School District,2022-2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Utah,Granite School District,2022-2023
We Are Here to Stay: Voices of Undocumented Young Adults,Susan Kuklin,female,,,,Florida,Clay County School District,2022-2023
Girl in Translation,Jean Kwok,female,,,,Florida,Clay County School District,2022-2023
Reverie,Ryan La Sala,,,,,Florida,Clay County School District,2022-2023
Hold Still,Nina LaCour,female,,,,Pennsylvania,Penncrest School District,2022-2023
Watch Over Me,Nina LaCour,female,,,,Texas,Frisco Independent School District,2022-2023
We Are Okay,Nina LaCour,female,,,,Florida,Clay County School District,2022-2023
We Are Okay,Nina LaCour,female,,,,Michigan,Davison Community Schools,2022-2023
Psalm Twenty-Three,"Ladwig, Tim",,,,,Florida,Brevard Public Schools,2022-2023
A Little Piece of Ground,"Laird, Elizabeth",,"Nimr, Sonia","Neal, Bill",,Florida,Clay County School District,2022-2023
The Road to Bethlehem: An Ethiopian Nativity,"Laird, Elizabeth",,,,,Florida,Brevard Public Schools,2022-2023
Stories of Jesus,Leena Lane,female,"Bishop, Roma",,,Florida,Brevard Public Schools,2022-2023
"Families, Families, Families!","Lang, Suzanne",,"Lang, Max",,,Florida,School District of Manatee County,2022-2023
The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth,"Langford, Jo",,,,,Texas,Frisco Independent School District,2022-2023
"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",Irene Latham,female,"Waters, Charles","Qualls, Sean; Alko, Selina",,Florida,Clay County School District,2022-2023
A Neon Darkness,Lauren Shippen,female,,,,Florida,Clay County School District,2022-2023
Autoboyography,"Lauren, Christina",,,,,Florida,Escambia County Public Schools,2022-2023
The Complete Idiot's Guide to Drawing Manga: Illustrated,John Layman,male,"Hutchinson, David",,,Missouri,Wentzville School District,2022-2023
Beetle & the Hollowbones,Aliza Layne,,,,,Florida,Clay County School District,2022-2023
Beetle & the Hollowbones,Aliza Layne,,,,,Florida,Escambia County Public Schools,2022-2023
A Clash of Steel: A Treasure Island Remix,C. B. Lee,female,,,,Texas,Frisco Independent School District,2022-2023
Grown in 60 Seconds,"Lee, Darrien",,,,,Texas,Texarkana Independent School District,2022-2023
Go Set a Watchman,"Lee, Harper",,,,,Pennsylvania,Penncrest School District,2022-2023
To Kill a Mockingbird,"Lee, Harper",,,,,Florida,The School District of Palm Beach County,2022-2023
To Kill a Mockingbird,"Lee, Harper",,,,,Pennsylvania,Penncrest School District,2022-2023
The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,female,,,,Florida,Clay County School District,2022-2023
"Karakuridoji Ultimo, Vol. 1","Lee, Stan",,,"Takei, Hiroyuki",,Pennsylvania,Penncrest School District,2022-2023
Spider-Man in Face-to-Face with the Lizard,"Lee, Stan",,"Ditko, Steve; Quantz, Daniel","Meyers; Jonboy; Davidson, Pat; Molinar; Larry; Gentile, Randy",,Florida,Clay County School District,2022-2023
A Lesson in Vengeance,"Lee, Victoria",,,,,Florida,Escambia County Public Schools,2022-2023
A Lesson in Vengeance,"Lee, Victoria",,,,,South Carolina,Beaufort County School District,2022-2023
Furyborn,Claire Legrand,female,,,,Texas,Conroe Independent School District,2022-2023
Furyborn,Claire Legrand,female,,,,Virginia,Madison County Public Schools,2022-2023
Kingsbane,Claire Legrand,female,,,,Texas,Conroe Independent School District,2022-2023
Lightbringer,Claire Legrand,female,,,,Texas,Conroe Independent School District,2022-2023
Annie Leibovitz at Work,Annie Leibovitz,female,,,,Missouri,Kirkwood School District,2022-2023
Women,Annie Leibovitz,female,"Sontag, Susan",,,Missouri,Kirkwood School District,2022-2023
Secret Origins,Jeff Lemire,male,,"Ormston, Dean; Stewart, Dave",,Missouri,Wentzville School District,2022-2023
The Event,Jeff Lemire,male,,"Ormston, Dean; Stewart, Dave",,Missouri,Wentzville School District,2022-2023
Home (TL),"Lemm, Trinity",,,,,Utah,Washington County School District,2022-2023
Human Sexuality: Opposing Viewpoints,Bruno Leone,male,"Stalcup, Brenda; Swisher, Karin L.",,,Pennsylvania,Penncrest School District,2022-2023
A Map to the Sun,Sloane Leong,female,,,,Missouri,Wentzville School District,2022-2023
Pharaoh's Daughter: A Novel of Ancient Egypt,Julius Lester,male,,,,Florida,Brevard Public Schools,2022-2023
19 Love Songs,David Levithan,male,,,,Florida,Clay County School District,2022-2023
Another Day,David Levithan,male,,,,Florida,Clay County School District,2022-2023
Boy Meets Boy,David Levithan,male,,,,Florida,Clay County School District,2022-2023
Every Day,David Levithan,male,,,,Florida,Clay County School District,2022-2023
Hold Me Closer: The Tiny Cooper Story,David Levithan,male,,,,Florida,Clay County School District,2022-2023
Someday,David Levithan,male,,,,Florida,Clay County School District,2022-2023
Two Boys Kissing,David Levithan,male,,,,Florida,Clay County School District,2022-2023
Two Boys Kissing,David Levithan,male,,,,Florida,Collier County Public Schools,2022-2023
Two Boys Kissing,David Levithan,male,,,,Florida,Escambia County Public Schools,2022-2023
Two Boys Kissing,David Levithan,male,,,,Florida,Marion County Public Schools,2022-2023
Two Boys Kissing,David Levithan,male,,,,Florida,Okaloosa County Schools District,2022-2023
Two Boys Kissing,David Levithan,male,,,,Pennsylvania,Pleasant Valley School District,2022-2023
Two Boys Kissing,David Levithan,male,,,,Texas,Texarkana Independent School District,2022-2023
The Family Fletcher Takes Rock Island,Dana Alison Levy,female,,,,Florida,Okaloosa County Schools District,2022-2023
This Would Make a Good Story Someday,Dana Alison Levy,female,,,,Florida,Escambia County Public Schools,2022-2023
"Coyotes, Vol. 1","Lewis, Sean",,,"Yarsky, Caitlin",,Missouri,Wentzville School District,2022-2023
"Coyotes, Vol. 2","Lewis, Sean",,,"Yarsky, Caitlin",,Missouri,Wentzville School District,2022-2023
Snapdragon,Kat Leyh,female,,,,Florida,Clay County School District,2022-2023
"Girl, (Nearly) 16: Absolute Torture",Sue Limb,female,,,,Texas,Texarkana Independent School District,2022-2023
House of Dark Shadows,Robert Liparulo,male,,,,Texas,Frisco Independent School District,2022-2023
Timescape,Robert Liparulo,male,,,,Texas,Frisco Independent School District,2022-2023
David and the Giant,"Little, Emily",,,,,Florida,Brevard Public Schools,2022-2023
Anything But Okay,Sarah Littman,female,,,,Texas,Frisco Independent School District,2022-2023
Monstress,Marjorie Liu,female,"Takeda, Sana",,,Missouri,Independence School District,2022-2023
"Monstress, Vol. 1: Awakening",Marjorie Liu,female,,"Takeda, Sana",,Texas,Frisco Independent School District,2022-2023
"Monstress, Vol. 2: The Blood",Marjorie Liu,female,,"Takeda, Sana",,Texas,Frisco Independent School District,2022-2023
"Monstress, Vol. 3: Haven",Marjorie Liu,female,,"Takeda, Sana",,Texas,Frisco Independent School District,2022-2023
"Monstress, Vol. 4: The Chosen",Marjorie Liu,female,,"Takeda, Sana",,Texas,Frisco Independent School District,2022-2023
Thanksgiving Poems,Myra Cohn Livingston,female,,"Gammell, Stephen",,Florida,Brevard Public Schools,2022-2023
Ash,Malinda Lo,female,,,,Texas,Texarkana Independent School District,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Florida,Clay County School District,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Florida,Escambia County Public Schools,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Florida,Flagler Schools,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Florida,Volusia County Schools,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,North Carolina,Pender County Schools,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,South Carolina,Beaufort County School District,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,South Carolina,Horry County Schools,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Texas,Conroe Independent School District,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Texas,Frisco Independent School District,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Texas,Keller Independent School District,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Utah,Granite School District,2022-2023
Last Night at the Telegraph Club,Malinda Lo,female,,,,Wisconsin,School District of Somerset,2022-2023
Fly on the Wall: How One Girl Saw Everything,E. Lockhart,female,,,,Florida,Highlands Schools,2022-2023
Fly on the Wall: How One Girl Saw Everything,E. Lockhart,female,,,,Florida,Okaloosa County Schools District,2022-2023
Fly on the Wall: How One Girl Saw Everything,E. Lockhart,female,,,,Pennsylvania,Pleasant Valley School District,2022-2023
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",E. Lockhart,female,,,,Florida,Clay County School District,2022-2023
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",E. Lockhart,female,,,,Florida,Duval County Public Schools,2022-2023
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",E. Lockhart,female,,,,Florida,Highlands Schools,2022-2023
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",E. Lockhart,female,,,,Florida,Marion County Public Schools,2022-2023
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",E. Lockhart,female,,,,Florida,Okaloosa County Schools District,2022-2023
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",E. Lockhart,female,,,,Pennsylvania,Pleasant Valley School District,2022-2023
We Were Liars,E. Lockhart,female,,,,Pennsylvania,Penncrest School District,2022-2023
Dateable: Are You? Are They?,"Lookadoo, Justin",,"DiMarco, Hayley",,,Texas,Texarkana Independent School District,2022-2023
Rules (CL),Cynthia Lord,female,,,,Florida,Clay County School District,2022-2023
"Isaac the Alchemist: Secrets of Isaac Newton, Reveal'd","Losure, Mary",,,,,Texas,Frisco Independent School District,2022-2023
"Hunting the Devil: The Pursuit, Capture and Confession of the Most Savage Serial Killer in History",Richard Lourie,male,,,,Pennsylvania,Penncrest School District,2022-2023
Julián at the Wedding,Jessica Love,female,,,,Florida,Escambia County Public Schools,2022-2023
Julián is a Mermaid,Jessica Love,female,,,,Florida,Clay County School District,2022-2023
Julián is a Mermaid,Jessica Love,female,,,,South Carolina,Horry County Schools,2022-2023
Puberty is Gross but Also Really Awesome,"Loveless, Gina",,,"Johnston, Lauri",,Missouri,Wentzville School District,2022-2023
50 Paintings You Should Know,Kristina Lowis,female,"Pickeral, Tamsin",,,Missouri,Wentzville School District,2022-2023
Messenger,Lois Lowry,female,,,,Texas,Frisco Independent School District,2022-2023
The Giver,Lois Lowry,female,,,,Texas,Frisco Independent School District,2022-2023
The Giver: Graphic Novel,Lois Lowry,female,,"Russell, P. Craig",,Missouri,Wentzville School District,2022-2023
Storytelling in Christian Art from Biotto to Donatello,Jules Lubbock,male,,,,Missouri,Wentzville School District,2022-2023
Daughters Unto Devils,Amy Lukavics,female,,,,Utah,Alpine School District,2022-2023
Different Kinds of Fruit,Kyle Lukoff,trans man,,,,Florida,Broward County Public Schools,2022-2023
Too Bright to See,Kyle Lukoff,trans man,,,,Florida,Escambia County Public Schools,2022-2023
Too Bright to See,Kyle Lukoff,trans man,,,,Florida,The School District of Palm Beach County,2022-2023
When Aidan Became a Brother,Kyle Lukoff,trans man,,"Juanita, Kaylani",,Florida,Escambia County Public Schools,2022-2023
When Aidan Became a Brother,Kyle Lukoff,trans man,,"Juanita, Kaylani",,Florida,School District of Manatee County,2022-2023
When Aidan Became a Brother,Kyle Lukoff,trans man,,"Juanita, Kaylani",,Florida,The School District of Palm Beach County,2022-2023
The Best Laid Plans,"Lund, Cameron",,,,,Florida,Clay County School District,2022-2023
Hero,Mike Lupica,male,,,,Texas,Frisco Independent School District,2022-2023
Boy Toy,Barry Lyga,male,,,,Florida,Clay County School District,2022-2023
Boy Toy,Barry Lyga,male,,,,Florida,Escambia County Public Schools,2022-2023
Boy Toy,Barry Lyga,male,,,,Florida,Santa Rosa County District Schools,2022-2023
Boy Toy,Barry Lyga,male,,,,Florida,St. John's County School District,2022-2023
Boy Toy,Barry Lyga,male,,,,Texas,Keller Independent School District,2022-2023
Boy Toy,Barry Lyga,male,,,,Utah,Washington County School District,2022-2023
Boy Toy,Barry Lyga,male,,,,Virginia,Spotsylvania County Public Schools,2022-2023
Boy Toy,Barry Lyga,male,,,,Wisconsin,School District of Somerset,2022-2023
Mangaman,Barry Lyga,male,,"Doran, Colleen",,Pennsylvania,Penncrest School District,2022-2023
Sonny's House of Spies,George Ella Lyon,female,,,,Texas,Texarkana Independent School District,2022-2023
Stitching the Stars: The Story Quilts of Harriet Powers,Mary E. Lyons,female,,,,Florida,Brevard Public Schools,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Florida,School District of Hamilton County,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Florida,Volusia County Schools,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Missouri,Nixa Public Schools,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,North Carolina,Cumberland County Schools,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,North Dakota,Williston Basin School District #7,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,South Carolina,Beaufort County School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Texas,Conroe Independent School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Utah,Alpine School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Utah,Granite School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Utah,Jordan School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Utah,Nebo School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Utah,Washington County School District,2022-2023
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Wisconsin,School District of Somerset,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Collier County Public Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Flagler Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Highlands Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Marion County Public Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Martin County Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Miami-Dade Public Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,School District of Hamilton County,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Florida,Volusia County Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Kansas,Gardner Edgerton School District 231,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Missouri,Nixa Public Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,North Carolina,Cumberland County Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,North Carolina,Pender County Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,North Dakota,Williston Basin School District #7,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Oregon,Canby Public School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Pennsylvania,Central York School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,South Carolina,Beaufort County School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Texas,Conroe Independent School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Utah,Alpine School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Utah,Davis School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Utah,Nebo School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Utah,Wasatch School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Utah,Washington County School District,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Virginia,Hanover County Public Schools,2022-2023
A Court of Mist and Fury,Sarah J. Maas,female,,,,Wisconsin,School District of Somerset,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Florida,Volusia County Schools,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Kansas,Gardner Edgerton School District 231,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Missouri,Nixa Public Schools,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,North Carolina,Pender County Schools,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Oregon,Canby Public School District,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Texas,Conroe Independent School District,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Utah,Alpine School District,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Utah,Davis School District,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Utah,Nebo School District,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Utah,Washington County School District,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Virginia,Hanover County Public Schools,2022-2023
A Court of Silver Flames,Sarah J. Maas,female,,,,Wisconsin,School District of Somerset,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Florida,Martin County Schools,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Florida,Volusia County Schools,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Missouri,Nixa Public Schools,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,North Carolina,Pender County Schools,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,North Dakota,Williston Basin School District #7,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Oregon,Canby Public School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,South Carolina,Beaufort County School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Texas,Conroe Independent School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Texas,Keller Independent School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Utah,Alpine School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Utah,Davis School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Utah,Granite School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Utah,Nebo School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Utah,Washington County School District,2022-2023
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Wisconsin,School District of Somerset,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Florida,Martin County Schools,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Florida,School District of Hamilton County,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Florida,Volusia County Schools,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Missouri,Nixa Public Schools,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,North Dakota,Williston Basin School District #7,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Oregon,Canby Public School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,South Carolina,Beaufort County School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Texas,Conroe Independent School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Utah,Alpine School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Utah,Davis School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Utah,Granite School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Utah,Nebo School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Utah,Washington County School District,2022-2023
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Wisconsin,School District of Somerset,2022-2023
Catwoman: Soulstealer,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
Crown of Midnight,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Florida,Martin County Schools,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Florida,Santa Rosa County District Schools,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Florida,Volusia County Schools,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Kansas,Gardner Edgerton School District 231,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Missouri,Nixa Public Schools,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,North Carolina,Pender County Schools,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,North Dakota,Williston Basin School District #7,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Oregon,Canby Public School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,South Carolina,Beaufort County School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Texas,Conroe Independent School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Texas,Keller Independent School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Texas,Lake Travis Independent School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Utah,Canyons School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Utah,Davis School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Utah,Granite School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Utah,Washington County School District,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Virginia,Madison County Public Schools,2022-2023
Empire of Storms,Sarah J. Maas,female,,,,Wisconsin,School District of Somerset,2022-2023
Heir of Fire,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
Heir of Fire,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
Heir of Fire,Sarah J. Maas,female,,,,Texas,Keller Independent School District,2022-2023
House of Earth and Blood,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
House of Earth and Blood,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
House of Earth and Blood,Sarah J. Maas,female,,,,Utah,Davis School District,2022-2023
House of Earth and Blood,Sarah J. Maas,female,,,,Utah,Nebo School District,2022-2023
House of Earth and Blood,Sarah J. Maas,female,,,,Wisconsin,School District of Somerset,2022-2023
House of Sky and Breath,Sarah J. Maas,female,,,,Utah,Granite School District,2022-2023
House of Sky and Breath,Sarah J. Maas,female,,,,Utah,Nebo School District,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Florida,Martin County Schools,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Florida,St. John's County School District,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Florida,Volusia County Schools,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,South Carolina,Beaufort County School District,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Utah,Canyons School District,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Utah,Davis School District,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Utah,Granite School District,2022-2023
Kingdom of Ash,Sarah J. Maas,female,,,,Wisconsin,School District of Somerset,2022-2023
Queen of Shadows,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
Queen of Shadows,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
Queen of Shadows,Sarah J. Maas,female,,,,Texas,Frisco Independent School District,2022-2023
Queen of Shadows,Sarah J. Maas,female,,,,Texas,Keller Independent School District,2022-2023
The Assassin's Blade,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
The Assassin's Blade,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
The Assassin's Blade,Sarah J. Maas,female,,,,Texas,Keller Independent School District,2022-2023
Throne of Glass,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
Throne of Glass,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
Throne of Glass,Sarah J. Maas,female,,,,Texas,Keller Independent School District,2022-2023
Tower of Dawn,Sarah J. Maas,female,,,,Florida,Clay County School District,2022-2023
Tower of Dawn,Sarah J. Maas,female,,,,Florida,Escambia County Public Schools,2022-2023
Tower of Dawn,Sarah J. Maas,female,,,,Florida,Martin County Schools,2022-2023
Tower of Dawn,Sarah J. Maas,female,,,,Florida,Volusia County Schools,2022-2023
Tower of Dawn,Sarah J. Maas,female,,,,Pennsylvania,Penncrest School District,2022-2023
Tower of Dawn,Sarah J. Maas,female,,,,South Carolina,Beaufort County School District,2022-2023
Tower of Dawn,Sarah J. Maas,female,,,,Utah,Davis School District,2022-2023
